algorithm,conv_kernel_size,dropout,filename,filters,inp_size,internal_size,l1_lambda,loss,lr,mode,model,num_gates,num_gnn,num_neighbours,out_size,pool_size,separate_sets,smoothing,split,trainer,trial_no,use_l1_reg,use_validation,use_weights
"euclidean","10","0.170935258887909","MiceBL.csv","20","10346","100","7.791256186431702e-05","0.4424091577529907","0.005670112051318274","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","0","True","True","True"
"euclidean","10","0.4691800988058209","MiceBL.csv","20","10346","100","0.0005722942554984056","0.4066588282585144","0.005577581045123799","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1","True","True","True"
"euclidean","10","0.03138292036591056","MiceBL.csv","20","10346","100","0.0006350447331462439","1.509641170501709","0.0061971506139722006","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","2","True","True","True"
"euclidean","10","0.3959598136946208","MiceBL.csv","20","10346","100","0.000784690092654344","1.133164405822754","0.005068952370404511","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","3","True","True","True"
"euclidean","10","0.10545477096885436","MiceBL.csv","20","10346","100","0.000813940850326115","3.443938970565796","0.0038338724101232343","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","4","True","True","True"
"euclidean","10","0.49130818822057815","MiceBL.csv","20","10346","100","0.0006079463028901754","0.8791471123695374","0.00745924413962862","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","14","True","True","True"
"euclidean","10","0.1671856186437471","MiceBL.csv","20","10346","100","0.0005826671552707825","0.4152931272983551","0.005956545895531876","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","16","True","True","True"
"euclidean","10","0.40124869144037545","MiceBL.csv","20","10346","100","0.0005548287110371411","4.43648624420166","0.0068488310263798355","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","18","True","True","True"
"euclidean","10","0.2279515270863942","MiceBL.csv","20","10346","100","0.0009120425422407402","0.6260313391685486","0.008318740090412826","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","20","True","True","True"
"euclidean","10","0.11609790140327984","MiceBL.csv","20","10346","100","0.0008214197493997516","2.0153896808624268","0.005167279095520132","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","35","True","True","True"
"euclidean","10","0.47969289073350413","MiceBL.csv","20","10346","100","0.0006076495823638845","0.7595505118370056","0.007139907594706719","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","49","True","True","True"
"euclidean","10","0.07190722641740577","MiceBL.csv","20","10346","100","0.0006945422388028227","3.545727014541626","0.007695932217295067","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","75","True","True","True"
"euclidean","10","0.05798274806056012","MiceBL.csv","20","10346","100","0.0008152158662721252","3.595573902130127","0.005224616897448807","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","82","True","True","True"
"euclidean","10","0.44910173756169025","MiceBL.csv","20","10346","100","0.0008680615537076202","0.5846390724182129","0.005800191088559946","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","93","True","True","True"
"euclidean","10","0.1884413374756094","MiceBL.csv","20","10346","100","0.0002592847503370817","1.100681185722351","0.0070614521694020455","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","107","True","True","True"
"euclidean","10","0.2439957815005515","MiceBL.csv","20","10346","100","0.00015993942575481232","0.354253351688385","0.006631996870386143","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","108","True","True","True"
"euclidean","10","0.375080444288932","MiceBL.csv","20","10346","100","0.0005398496327006385","0.6167331337928772","0.006227959499551289","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","153","True","True","True"
"euclidean","10","0.4408730926482465","MiceBL.csv","20","10346","100","0.0005689342515397532","0.5276585221290588","0.006641343400438549","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","164","True","True","True"
"euclidean","10","0.44305834491190427","MiceBL.csv","20","10346","100","0.00032210860821623344","3.212883710861206","0.006543205489369709","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","168","True","True","True"
"euclidean","10","0.014501782033187863","MiceBL.csv","20","10346","100","0.0009113299243856883","0.6681075692176819","0.005927355010155591","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","206","True","True","True"
"euclidean","10","0.01157242997864827","MiceBL.csv","20","10346","100","0.0009059259679200894","0.4491059482097626","0.005454581564549189","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","213","True","True","True"
"euclidean","10","0.35952112923817814","MiceBL.csv","20","10346","100","0.0008915324325802733","0.7449259161949158","0.0038185452083554844","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","217","True","True","True"
"euclidean","10","0.0620176552960691","MiceBL.csv","20","10346","100","0.0009337483015324277","8.855978012084961","0.002754820522991432","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","220","True","True","True"
"euclidean","10","0.4963305487302895","MiceBL.csv","20","10346","100","0.0006624052093126662","1.380872130393982","0.004723875042474077","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","259","True","True","True"
"euclidean","10","0.4995107325631709","MiceBL.csv","20","10346","100","0.00034745144119618986","1.4051116704940796","0.005650367656966171","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","297","True","True","True"
"euclidean","10","0.4763566921043686","MiceBL.csv","20","10346","100","0.0003401954659926389","3.4935195446014404","0.007487908951151576","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","307","True","True","True"
"euclidean","10","0.11093892048941639","MiceBL.csv","20","10346","100","0.0005177605651797813","0.5747761726379395","0.007200821929517398","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","319","True","True","True"
"euclidean","10","0.14366461652486234","MiceBL.csv","20","10346","100","0.0005237731912496624","0.801253080368042","0.007173761174267431","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","323","True","True","True"
"euclidean","10","0.14482274422686206","MiceBL.csv","20","10346","100","0.0005146034381723259","1.1477396488189697","0.007297826198032759","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","324","True","True","True"
"euclidean","10","0.45824184925775463","MiceBL.csv","20","10346","100","0.0005866190547107179","0.40729227662086487","0.007003690665564349","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","365","True","True","True"
"euclidean","10","0.21693564689056546","MiceBL.csv","20","10346","100","0.0008847181927393488","6.297793388366699","0.005430402634847742","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","389","True","True","True"
"euclidean","10","0.4807556460142877","MiceBL.csv","20","10346","100","0.0007256557458395214","13.91231632232666","0.0072257354996325","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","413","True","True","True"
"euclidean","10","0.13644117921666485","MiceBL.csv","20","10346","100","0.0007744307816480583","4.119103908538818","0.0038217551795059015","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","422","True","True","True"
"euclidean","10","0.08722717806490796","MiceBL.csv","20","10346","100","0.000538866106399469","2.3745038509368896","0.005057455276938912","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","446","True","True","True"
"euclidean","10","0.4815612977597073","MiceBL.csv","20","10346","100","0.0005415594549934101","0.5619651079177856","0.007081720916933997","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","474","True","True","True"
"euclidean","10","0.4990685183774358","MiceBL.csv","20","10346","100","0.0005507867403257113","23.275405883789062","0.0070291249974666495","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","479","True","True","True"
"euclidean","10","0.48918085688228663","MiceBL.csv","20","10346","100","0.000505520288968962","0.7687588930130005","0.007339053357154639","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","499","True","True","True"
"euclidean","10","0.15658721410171686","MiceBL.csv","20","10346","100","0.0009133376899660345","0.5284543633460999","0.008235792229955373","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","519","True","True","True"
"euclidean","10","0.46425638168683625","MiceBL.csv","20","10346","100","0.0006144942251751454","0.30131322145462036","0.006878466124158946","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","542","True","True","True"
"euclidean","10","0.1429793743325886","MiceBL.csv","20","10346","100","0.0006281165246681926","2.867678165435791","0.005772845880959763","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","567","True","True","True"
"euclidean","10","0.13776683267963927","MiceBL.csv","20","10346","100","0.0005647241061866985","0.4144259989261627","0.005857531676574528","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","652","True","True","True"
"euclidean","10","0.4654612308314103","MiceBL.csv","20","10346","100","0.0005657464584050667","0.8565766215324402","0.00898987458694003","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","672","True","True","True"
"euclidean","10","0.376135052445847","MiceBL.csv","20","10346","100","0.0009074361181964162","0.7653794884681702","0.006743800950675164","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","735","True","True","True"
"euclidean","10","0.3782172094648817","MiceBL.csv","20","10346","100","0.000942243400310479","0.32025444507598877","0.006580674617461265","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","737","True","True","True"
"euclidean","10","0.48501680187207474","MiceBL.csv","20","10346","100","0.000922059816232405","4.224756717681885","0.00913421474892993","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","776","True","True","True"
"euclidean","10","0.4193035266538984","MiceBL.csv","20","10346","100","0.00048736417014784786","0.7101946473121643","0.006696280315943639","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","807","True","True","True"
"euclidean","10","0.47623969148475953","MiceBL.csv","20","10346","100","0.000955787862037487","0.34122908115386963","0.006698510457604045","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","882","True","True","True"
"euclidean","10","0.014834871143924903","MiceBL.csv","20","10346","100","0.0004494668127373153","12.649551391601562","0.007037113273628333","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","917","True","True","True"
"euclidean","10","0.41574369009030665","MiceBL.csv","20","10346","100","0.00029258384737904715","0.486636757850647","0.00909983935880939","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","936","True","True","True"
"euclidean","10","0.41501002881651144","MiceBL.csv","20","10346","100","0.0002788677551938246","1.0154763460159302","0.006524510559592371","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","943","True","True","True"
"euclidean","10","0.3706361019097998","MiceBL.csv","20","10346","100","7.394800346997798e-05","1.5987889766693115","0.0068908921581145475","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","972","True","True","True"
"euclidean","10","0.4579697727758171","MiceBL.csv","20","10346","100","0.0004866846630578719","0.601838231086731","0.005897987438566994","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1069","True","True","True"
"euclidean","10","0.40088661596324193","MiceBL.csv","20","10346","100","0.0005645220733498754","0.6761618852615356","0.0041937402931161915","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1099","True","True","True"
"euclidean","10","0.3637024963080061","MiceBL.csv","20","10346","100","0.0009748067428367673","0.7542831301689148","0.0032085236160076074","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1123","True","True","True"
"euclidean","10","0.23837523059927074","MiceBL.csv","20","10346","100","0.0009724045128180256","0.7364897131919861","0.0026717233439240173","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1129","True","True","True"
"euclidean","10","0.27332187140660036","MiceBL.csv","20","10346","100","0.0009692841172210661","0.9238649606704712","0.0032980190947009087","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1139","True","True","True"
"euclidean","10","0.09598712967236048","MiceBL.csv","20","10346","100","0.00011187753101874636","0.7357664704322815","0.0038169139960488067","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1233","True","True","True"
"euclidean","10","0.10492194255337682","MiceBL.csv","20","10346","100","4.76228882540228e-05","3.9956252574920654","0.005944124869969996","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1252","True","True","True"
"euclidean","10","0.03450388351556774","MiceBL.csv","20","10346","100","0.00018851718857728717","1.6293529272079468","0.006730558350100747","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1265","True","True","True"
"euclidean","10","0.1467451920185696","MiceBL.csv","20","10346","100","0.0005898893597442697","3.22365403175354","0.008981750327976873","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1286","True","True","True"
"euclidean","10","0.10588461555786728","MiceBL.csv","20","10346","100","0.0009344778108338115","0.4915018081665039","0.006822134071687772","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1322","True","True","True"
"euclidean","10","0.12257884549131509","MiceBL.csv","20","10346","100","0.0009485446283889108","2.2149641513824463","0.006738818185129877","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1324","True","True","True"
"euclidean","10","0.008114176626166831","MiceBL.csv","20","10346","100","0.0007567121107581532","6.369063854217529","0.007965634634371855","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1371","True","True","True"
"euclidean","10","0.4290110232664615","MiceBL.csv","20","10346","100","0.0005150460308130729","1.466088056564331","0.00572755587847118","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1781","True","True","True"
"euclidean","10","0.4214313857638459","MiceBL.csv","20","10346","100","0.0006299195698526032","0.45425352454185486","0.008765731310233364","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1828","True","True","True"
"euclidean","10","0.4060164793325254","MiceBL.csv","20","10346","100","0.0006089000553019154","0.7340826392173767","0.008559661348144704","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1839","True","True","True"
"euclidean","10","0.409362791391828","MiceBL.csv","20","10346","100","0.0005979593026604262","0.715587854385376","0.008861127174802835","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1853","True","True","True"
"euclidean","10","0.4185038045561224","MiceBL.csv","20","10346","100","0.0006049751708507009","0.6426054239273071","0.008995578815159914","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1854","True","True","True"
"euclidean","10","0.4480787531737555","MiceBL.csv","20","10346","100","0.0006230878045899178","0.9362199306488037","0.006685333042019201","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","1983","True","True","True"
"euclidean","10","0.1515248686044849","MiceBL.csv","20","10346","100","0.0007941663936501018","0.3832489848136902","0.006560200766906225","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","2318","True","True","True"
"euclidean","10","0.15995234666601457","MiceBL.csv","20","10346","100","0.0006258938362913855","1.4578089714050293","0.008929370145067747","distance","create_network_gated_dropout","1","0","1","1","2","True","laplacian","8","plain_trainer","2474","True","True","True"
